qid	original_query	query_variant_1	query_variant_2	query_variant_3	query_variant_4	query_variant_5	query_variant_6	query_variant_7	query_variant_8	query_variant_9	query_variant_10	query_variant_11	query_variant_12	query_variant_13	query_variant_14	query_variant_15	query_variant_16	query_variant_17	query_variant_18	query_variant_19	query_variant_20
156493	do goldfish grow	 do goldfish grow in captivity	how big do goldfish grow	do goldfish grow to a certain size	can goldfish grow in small tanks	how fast do goldfish grow	do goldfish grow in cold water	can goldfish grow in warm water	do goldfish grow with proper care	how large do goldfish grow	do goldfish grow in different environments	can goldfish grow with poor water quality	do goldfish grow in aquariums	how long do goldfish grow	do goldfish grow with regular feeding	can goldfish grow with varied diet	do goldfish grow in different species	can goldfish grow with proper nutrition	do goldfish grow with regular maintenance	can goldfish grow with frequent water changes	do goldfish grow in optimal conditions
1110199	what is wifi vs bluetooth	 what is wifi vs bluetooth technology	differences between wifi and bluetooth	wifi vs bluetooth comparison	what is wifi and bluetooth used for	wifi vs bluetooth range	wifi vs bluetooth speed	which is better wifi or bluetooth	wifi vs bluetooth security	how does wifi vs bluetooth work	wifi vs bluetooth devices	wifi vs bluetooth adapters	wifi vs bluetooth frequency	wifi vs bluetooth interference	wifi vs bluetooth latency	wifi vs bluetooth power consumption	wifi vs bluetooth protocols	wifi vs bluetooth range extender	wifi vs bluetooth smart devices	wifi vs bluetooth standards	wifi vs bluetooth uses
1063750	why did the us volunterilay enter ww1	 why did the united states volunteer for world war i	why did the us enter world war i voluntarily	why did the us join world war i without being forced	why did the us participate in world war i without being attacked	why did the us decide to enter world war i	why did the us choose to join world war i	why did the us become involved in world war i	why did the us get drawn into world war i	why did the us feel compelled to enter world war i	why did the us feel the need to join world war i	why did the us feel obligated to enter world war i	why did the us enter world war i in 1917	why did the us enter world war i after the lusitania	why did the us enter world war i after the sinking of the lusitania	why did the us enter world war i in response to the german u boat attacks	why did the us enter world war i to support the british	why did the us enter world war i to support the allies	why did the us enter world war i to stop german aggression	why did the us enter world war i to protect american interests	why did the us enter world war i to protect american shipping
130510	definition declaratory judgment	 definition of declaratory judgment	what is a declaratory judgment	meaning of declaratory judgment	declaratory judgment definition	judgment that declares	court order declaring	declaratory relief	judicial declaration	meaning of declaratory relief	declaratory judgment vs injunctive relief	types of declaratory judgments	declaratory judgment examples	court s declaratory judgment	judicial declaration of rights	declaratory judgment in contract law	declaratory judgment in tort law	declaratory judgment in intellectual property law	declaratory judgment in constitutional law	declaratory judgment in international law	history of declaratory judgment
489204	right pelvic pain causes	 right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes	right pelvic pain causes
573724	what are the social determinants of health	 social determinants of health in low income communities	health determinants in urban settings	factors affecting health outcomes in developed countries	social factors influencing health disparities	health determinants of mental health	determinants of health in childhood	social and environmental determinants of health	health determinants of chronic diseases	social determinants of health in marginalized populations	health determinants in healthcare systems	factors influencing health in developing countries	social determinants of health in aging populations	health determinants of infectious diseases	social determinants of health in refugee communities	health determinants in healthcare policy	determinants of health in workplace settings	social determinants of health in educational institutions	health determinants in environmental pollution	factors affecting health in rural areas	social determinants of health in indigenous communities
168216	does legionella pneumophila cause pneumonia	 does legionella pneumophila cause community acquired pneumonia 	can legionella pneumophila cause severe pneumonia 	does l  pneumophila cause hospital acquired pneumonia 	is legionella pneumophila a common cause of pneumonia 	can legionella pneumophila cause pneumonia in smokers 	does l  pneumophila cause pneumonia in people with copd 	can legionella pneumophila cause pneumonia in immunocompromised patients 	does l  pneumophila cause pneumonia in the elderly 	can legionella pneumophila cause pneumonia in children 	does l  pneumophila cause legionnaires  disease pneumonia 	can legionella pneumophila cause pneumonia in patients with underlying lung disease 	does l  pneumophila cause nosocomial pneumonia 	can legionella pneumophila cause pneumonia in people with diabetes 	does l  pneumophila cause pneumonia in patients with chronic kidney disease 	can legionella pneumophila cause pneumonia in patients with heart failure 	does l  pneumophila cause pneumonia in patients with liver disease 	can legionella pneumophila cause pneumonia in patients with hiv aids 	does l  pneumophila cause pneumonia in patients with cancer 	can legionella pneumophila cause pneumonia in patients with chronic obstructive pulmonary disease (copd) 	does l  pneumophila cause pneumonia in patients with cystic fibrosis 
1133167	how is the weather in jamaica	 weather conditions in jamaica	current weather in jamaica	jamaica weather forecast	what s the weather like in jamaica	jamaica weather today	weather in jamaica this week	jamaica weather in march	weather in jamaica for tourists	jamaica summer weather	jamaica hurricane season	weather patterns in jamaica	jamaica climate information	weather in montego bay jamaica	weather in negril jamaica	kingston jamaica weather	weather in ocho rios jamaica	jamaica weather averages	weather in jamaica s mountains	jamaica weather and humidity	jamaica weather in the caribbean
527433	types of dysarthria from cerebral palsy	 types of dysarthria associated with cerebral palsy	dysarthria subtypes in cerebral palsy patients	cerebral palsy related dysarthria types	dysarthria classification in cerebral palsy cases	cerebral palsy and its effects on dysarthria	types of speech disorders in cerebral palsy	dysarthria caused by cerebral palsy	cerebral palsy and dysarthria symptoms	dysarthria subcategories in cerebral palsy	cerebral palsy and speech therapy for dysarthria	dysarthria and cerebral palsy diagnosis	cerebral palsy related speech difficulties	types of dysarthria in individuals with cerebral palsy	dysarthria and cerebral palsy treatment options	cerebral palsy and dysarthria rehabilitation	dysarthria in children with cerebral palsy	cerebral palsy and adult dysarthria	dysarthria and cerebral palsy research	cerebral palsy and dysarthria management	dysarthria in adults with cerebral palsy
1037798	who is robert gray	" who is robert gray, american author"	"who is robert gray, australian poet"	"who is robert gray, notable writer"	"who is robert gray, 18th century poet"	"who is robert gray, australian poet laureate"	"who is robert gray, poet and writer"	"who is robert gray, famous author"	"who is robert gray, influential poet"	"who is robert gray, writer and poet"	"who is robert gray, australian literary figure"	"who is robert gray, 18th century writer"	"who is robert gray, notable poet"	"who is robert gray, australian literary critic"	"who is robert gray, poet and critic"	"who is robert gray, australian literary historian"	"who is robert gray, writer and critic"	"who is robert gray, 18th century literary figure"	"who is robert gray, australian poet and writer"	"who is robert gray, influential literary figure"	"who is robert gray, notable literary critic"
