qid	original_query	query_variant_1	query_variant_2	query_variant_3	query_variant_4	query_variant_5	query_variant_6	query_variant_7	query_variant_8	query_variant_9	query_variant_10	query_variant_11	query_variant_12	query_variant_13	query_variant_14	query_variant_15	query_variant_16	query_variant_17	query_variant_18	query_variant_19	query_variant_20
1030303	who is aziz hashim	 who is aziz hashim 	what is the identity of aziz hashim 	"who are we talking about, aziz hashim "	can you tell me about aziz hashim 	who is the person known as aziz hashim 	introduce me to aziz hashim	who is the individual behind the name aziz hashim 	tell me about the person aziz hashim	who is the personality known as aziz hashim 	who is the individual referred to as aziz hashim 	can you provide information on aziz hashim 	who is this aziz hashim 	introduce aziz hashim	who is the entity known as aziz hashim 	who is the being referred to as aziz hashim 	who is the individual known for aziz hashim 	what do we know about aziz hashim 	who is the human being known as aziz hashim 	who is the entity referred to as aziz hashim 	who is the personage known as aziz hashim 
1037496	who is rep scalise	 who is representative steve scalise 	"who is representative steve scalise, a us politician "	who is the republican representative from louisiana 	who is the louisiana congressman 	who is the representative from louisiana s 1st congressional district 	"who is steve scalise, the republican representative "	who is the congressman for louisiana s 1st district 	"who is representative scalise, a louisiana politician "	who is the republican congressman from louisiana 	who is the representative from louisiana s congressional district 1 	"who is steve scalise, the congressman from louisiana "	who is the louisiana representative from the 1st district 	"who is representative steve scalise, a louisiana representative "	who is the representative from the 1st congressional district of louisiana 	"who is steve scalise, a louisiana congressman "	who is the congressman for louisiana s 1st congressional district 	"who is representative scalise, a us representative from louisiana "	who is the louisiana congressman for the 1st district 	"who is representative steve scalise, a republican representative "	"who is the representative from louisiana s 1st congressional district, steve scalise "
1043135	who killed nicholas ii of russia	 who was responsible for the assassination of nicholas ii of russia 	who assassinated the last russian tsar 	who was the killer of nicholas ii 	"who murdered nicholas ii, the russian monarch "	who was behind the death of nicholas ii 	"who executed nicholas ii, the russian emperor "	who was the mastermind behind nicholas ii s death 	who was the assassin of nicholas ii 	who was the one who killed nicholas ii 	who was the culprit behind nicholas ii s assassination 	who was the person responsible for nicholas ii s demise 	who was the killer of the russian tsar 	who was the one who murdered nicholas ii 	who was the perpetrator of nicholas ii s death 	who was the brains behind nicholas ii s assassination 	who was the one who executed nicholas ii 	who was the key player in nicholas ii s murder 	who was the driving force behind nicholas ii s demise 	who was the main culprit in nicholas ii s assassination 	who was the one who orchestrated nicholas ii s death 
1051399	who sings monk theme song	 who is responsible for singing the theme song of monk 	who performs the theme song of monk 	who sings the iconic monk theme song 	who is behind the monk theme song vocals 	who provides the vocal accompaniment for monk s theme song 	who does the singing for monk s theme song 	who is the vocalist on monk s theme song 	who sings the catchy monk theme song 	who performs the memorable monk theme song 	who is the singer of the monk theme song 	who has recorded the monk theme song 	who sings the popular monk theme song 	who does the vocals for monk s theme song 	who is the main singer on monk s theme song 	who has a hand in singing monk s theme song 	who sings the iconic tune of monk 	who is responsible for the vocals of monk s theme song 	who has a role in singing monk s theme song 	who sings the recognizable monk theme song 	who performs the recognizable monk theme song 
1064670	why do hunters pattern their shotguns	 why do hunters customize their shotgun patterns 	what is the purpose of modifying shotgun dispersion 	how do hunters optimize their shotgun shot patterns 	what do hunters aim to achieve with shotgun pattern adjustments 	why do hunters fine tune their shotgun firing patterns 	what is the significance of shotgun pattern customization 	how do hunters regulate their shotgun shot groupings 	what is the goal of shotgun pattern refinement 	why do hunters calibrate their shotgun firing patterns 	what is the importance of shotgun pattern optimization 	how do hunters tailor their shotgun shot patterns 	what do hunters try to accomplish with shotgun pattern modifications 	why do hunters adjust their shotgun firing patterns 	what is the function of shotgun pattern tuning 	how do hunters fine tune their shotgun shot patterns 	what is the purpose of shotgun pattern calibration 	why do hunters optimize their shotgun shot groupings 	what do hunters aim to achieve with shotgun pattern adjustments 	how do hunters modify their shotgun firing patterns 	what is the significance of shotgun pattern fine tuning 
1071750	why is pete rose banned from hall of fame	 why is pete rose excluded from the baseball hall of fame	what s the reason pete rose isn t in the hall of fame	why was pete rose denied entry into the hall of fame	what led to pete rose s exclusion from the hall of fame	why is pete rose not a hall of famer	how did pete rose get banned from the hall of fame	what s the story behind pete rose s hall of fame omission	why is pete rose s name missing from the hall of fame	what s the reason for pete rose s non induction into the hall of fame	why didn t pete rose get inducted into the hall of fame	what s the controversy surrounding pete rose s hall of fame eligibility	why is pete rose not a member of the hall of fame	what s the history behind pete rose s hall of fame exclusion	why was pete rose not voted into the hall of fame	what s the reason for pete rose s absence from the hall of fame	why didn t pete rose get the nod for the hall of fame	what s the reason behind pete rose s non selection for the hall of fame	why is pete rose not in the hall of fame	what s the story behind pete rose s non induction into the hall of fame	why was pete rose denied the hall of fame honor
1105792	define geon	 define geon	explain the meaning of geon	geon  a definition	what is geon 	describe the concept of geon	geon s significance	define the term geon	interpret geon	elucidate geon	geon s essence	define  geon 	geon s meaning	describe geon	geon s definition	geon s significance	explain geon	geon s essence	define geon concept	geon s meaning and significance	define geon term
1106979	define pareto chart in statistics	 explain pareto chart in statistics	describe the concept of pareto chart in statistical analysis	outline the meaning of pareto chart in data visualization	define pareto chart in statistical terminology	summarize the idea of pareto chart in data science	characterize the pareto chart in statistical context	pareto chart definition in statistics	interpret the concept of pareto chart in statistical studies	what is the significance of pareto chart in statistical research	elucidate the meaning of pareto chart in statistics	pareto chart explanation in statistical methodology	describe the importance of pareto chart in data analysis	break down the concept of pareto chart in statistical framework	define pareto chart in statistical data visualization	summarize the concept of pareto chart in statistical theory	outline the role of pareto chart in statistical modeling	pareto chart meaning in statistical context	explain the concept of pareto chart in statistical practice	characterize the pareto chart in statistical applications	define pareto chart in statistical data exploration
1108651	what the best way to get clothes white	 what is the most effective method to whiten clothes 	how can i achieve the whitest color for my clothes 	what s the best approach to get clothes looking their whitest 	what technique is best for whitening clothes 	what s the most efficient way to get clothes white 	how do i get my clothes to their whitest state 	what s the simplest way to whiten clothes 	what s the most practical method to get clothes white 	what s the best way to make my clothes look their whitest 	how can i get my clothes to be their whitest 	what s the most popular way to whiten clothes 	what s the most common method to get clothes white 	what s the best technique for whitening clothes 	what s the most effective way to get clothes looking their best 	how can i achieve the brightest color for my clothes 	what s the most reliable way to get clothes white 	what s the most trusted method to whiten clothes 	what s the most efficient technique for getting clothes white 	what s the simplest method to whiten clothes 	what s the most practical technique for getting clothes white 
1109707	what medium do radio waves travel through	 what medium do radio waves traverse 	what substance do radio waves propagate through 	in what environment do radio waves transmit 	what pathway do radio waves follow 	what material do radio waves pass through 	what terrain do radio waves cover 	what channel do radio waves broadcast through 	what waveguide do radio waves travel along 	what conduit do radio waves use 	what route do radio waves take 	what vessel do radio waves navigate 	what arena do radio waves occupy 	what sphere do radio waves inhabit 	what domain do radio waves operate in 	what realm do radio waves inhabit 	what expanse do radio waves traverse 	what range do radio waves span 	what scope do radio waves cover 	what span do radio waves occupy 	what expanse do radio waves cover  
